"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"236","Morocco","Fungus","Eumycetoma","Penicillium",0,12,0
"237","Morocco","Fungus","Eumycetoma","Phaeoacremonium",0,12,0
"238","Morocco","Fungus","Eumycetoma","Sarocladium",0,12,0
"239","Morocco","Fungus","Eumycetoma","Scedosporium",0,12,0
"240","Morocco","Fungus","Eumycetoma","Trematosphaeria",0,12,0
"241","Morocco","Fungus","Eumycetoma","Trichophyton",0,12,0
"242","Morocco","Fungus","Eumycetoma","Xenoacremonium",0,12,0
"243","Saudi Arabia","Bacteria","Actinomycetoma","Actinomadura",7,78,0.0897435897435897
"244","Saudi Arabia","Bacteria","Actinomycetoma","Nocardia",0,78,0
"245","Saudi Arabia","Bacteria","Actinomycetoma","Streptomyces",7,78,0.0897435897435897
"246","Saudi Arabia","Fungus","Eumycetoma","Acremonium",0,78,0
"247","Saudi Arabia","Fungus","Eumycetoma","Aspergillus",0,78,0
"248","Saudi Arabia","Fungus","Eumycetoma","Cladophialophora",0,78,0
"249","Saudi Arabia","Fungus","Eumycetoma","Cladosporium",0,78,0
"250","Saudi Arabia","Fungus","Eumycetoma","Exophiala",0,78,0
"251","Saudi Arabia","Fungus","Eumycetoma","Falcifomispora",0,78,0
"252","Saudi Arabia","Fungus","Eumycetoma","Fusarium",0,78,0
"253","Saudi Arabia","Fungus","Eumycetoma","Madurella",13,78,0.166666666666667
"254","Saudi Arabia","Fungus","Eumycetoma","Medicopsis",0,78,0
"255","Saudi Arabia","Fungus","Eumycetoma","Microsporum",0,78,0
"256","Saudi Arabia","Fungus","Eumycetoma","Neoscytalidium",0,78,0
"257","Saudi Arabia","Fungus","Eumycetoma","Nigrograna",0,78,0
"258","Saudi Arabia","Fungus","Eumycetoma","Penicillium",0,78,0
"259","Saudi Arabia","Fungus","Eumycetoma","Phaeoacremonium",0,78,0
"260","Saudi Arabia","Fungus","Eumycetoma","Sarocladium",0,78,0
"261","Saudi Arabia","Fungus","Eumycetoma","Scedosporium",0,78,0
"262","Saudi Arabia","Fungus","Eumycetoma","Trematosphaeria",2,78,0.0256410256410256
"263","Saudi Arabia","Fungus","Eumycetoma","Trichophyton",0,78,0
"264","Saudi Arabia","Fungus","Eumycetoma","Xenoacremonium",0,78,0
