"","ID","Study_meta","Total_N","Body_region","n","prop"
"336","ID 5603","Castro, Brazil, 2008",27,"Upper_Limbs",2,0.0740740740740741
"337","ID 5654","Hay, United Kingdom, 1982",43,"Buttocks_Groin",1,0.0232558139534884
"338","ID 5654","Hay, United Kingdom, 1982",43,"Face_Neck",2,0.0465116279069767
"339","ID 5654","Hay, United Kingdom, 1982",43,"Lower_Limbs",32,0.744186046511628
"340","ID 5654","Hay, United Kingdom, 1982",43,"Multiple_sites",1,0.0232558139534884
"341","ID 5654","Hay, United Kingdom, 1982",43,"Trunk",0,0
"342","ID 5654","Hay, United Kingdom, 1982",43,"Unspecified",3,0.0697674418604651
"343","ID 5654","Hay, United Kingdom, 1982",43,"Upper_Limbs",5,0.116279069767442
"344","ID 5774","Ansari, India, 2023",38,"Buttocks_Groin",0,0
"345","ID 5774","Ansari, India, 2023",38,"Face_Neck",0,0
"346","ID 5774","Ansari, India, 2023",38,"Lower_Limbs",32,0.842105263157895
"347","ID 5774","Ansari, India, 2023",38,"Multiple_sites",0,0
"348","ID 5774","Ansari, India, 2023",38,"Trunk",0,0
"349","ID 5774","Ansari, India, 2023",38,"Unspecified",5,0.131578947368421
"350","ID 5774","Ansari, India, 2023",38,"Upper_Limbs",1,0.0263157894736842
"351","ID 5776","Elgallali N, Tunisia, 2010",15,"Buttocks_Groin",0,0
"352","ID 5776","Elgallali N, Tunisia, 2010",15,"Face_Neck",0,0
"353","ID 5776","Elgallali N, Tunisia, 2010",15,"Lower_Limbs",14,0.933333333333333
"354","ID 5776","Elgallali N, Tunisia, 2010",15,"Multiple_sites",0,0
"355","ID 5776","Elgallali N, Tunisia, 2010",15,"Trunk",0,0
"356","ID 5776","Elgallali N, Tunisia, 2010",15,"Unspecified",0,0
"357","ID 5776","Elgallali N, Tunisia, 2010",15,"Upper_Limbs",1,0.0666666666666667
"358","ID 5783","Kaliswaran, India, 2003",25,"Buttocks_Groin",0,0
"359","ID 5783","Kaliswaran, India, 2003",25,"Face_Neck",0,0
"360","ID 5783","Kaliswaran, India, 2003",25,"Lower_Limbs",20,0.8
"361","ID 5783","Kaliswaran, India, 2003",25,"Multiple_sites",0,0
"362","ID 5783","Kaliswaran, India, 2003",25,"Trunk",1,0.04
"363","ID 5783","Kaliswaran, India, 2003",25,"Unspecified",0,0
"364","ID 5783","Kaliswaran, India, 2003",25,"Upper_Limbs",4,0.16
"365","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Buttocks_Groin",0,0
"366","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Face_Neck",74,0.0188151538265955
"367","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Lower_Limbs",2061,0.524027459954233
"368","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Multiple_sites",149,0.0378845664886855
"369","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Trunk",675,0.17162471395881
"370","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Unspecified",664,0.16882786676837
"371","ID 5784","Lopez-Martinez, Mexico, 2013",3933,"Upper_Limbs",459,0.116704805491991
"372","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Buttocks_Groin",33,0.379310344827586
"373","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Face_Neck",3,0.0344827586206897
"374","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Lower_Limbs",13,0.149425287356322
"375","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Multiple_sites",0,0
"376","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Trunk",4,0.0459770114942529
"377","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Unspecified",24,0.275862068965517
"378","ID 5785","K.D. Adoubryn, Côte d'Ivoire, 2008",87,"Upper_Limbs",10,0.114942528735632
"379","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Buttocks_Groin",0,0
"380","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Face_Neck",1,0.05
"381","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Lower_Limbs",17,0.85
"382","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Multiple_sites",0,0
"383","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Trunk",1,0.05
"384","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Unspecified",0,0
"385","ID 5797","Czechowski, United Arab Emirates, 2001",20,"Upper_Limbs",1,0.05
"386","ID 770","Bocarro, India, 1893",100,"Buttocks_Groin",0,0
"387","ID 770","Bocarro, India, 1893",100,"Face_Neck",0,0
"388","ID 770","Bocarro, India, 1893",100,"Lower_Limbs",97,0.97
"389","ID 770","Bocarro, India, 1893",100,"Multiple_sites",0,0
"390","ID 770","Bocarro, India, 1893",100,"Trunk",0,0
"391","ID 770","Bocarro, India, 1893",100,"Unspecified",0,0
"392","ID 770","Bocarro, India, 1893",100,"Upper_Limbs",3,0.03
"393","ID 801","A. Aounallah, Tunisia, 2023",18,"Buttocks_Groin",1,0.0555555555555556
"394","ID 801","A. Aounallah, Tunisia, 2023",18,"Face_Neck",1,0.0555555555555556
"395","ID 801","A. Aounallah, Tunisia, 2023",18,"Lower_Limbs",15,0.833333333333333
"396","ID 801","A. Aounallah, Tunisia, 2023",18,"Multiple_sites",0,0
"397","ID 801","A. Aounallah, Tunisia, 2023",18,"Trunk",0,0
"398","ID 801","A. Aounallah, Tunisia, 2023",18,"Unspecified",0,0
"399","ID 801","A. Aounallah, Tunisia, 2023",18,"Upper_Limbs",1,0.0555555555555556
"400","ID 963","Estrada Castañón, Mexico, 2019",113,"Buttocks_Groin",19,0.168141592920354
"401","ID 963","Estrada Castañón, Mexico, 2019",113,"Face_Neck",4,0.0353982300884956
"402","ID 963","Estrada Castañón, Mexico, 2019",113,"Lower_Limbs",45,0.398230088495575
"403","ID 963","Estrada Castañón, Mexico, 2019",113,"Multiple_sites",0,0
"404","ID 963","Estrada Castañón, Mexico, 2019",113,"Trunk",23,0.20353982300885
"405","ID 963","Estrada Castañón, Mexico, 2019",113,"Unspecified",0,0
"406","ID 963","Estrada Castañón, Mexico, 2019",113,"Upper_Limbs",22,0.194690265486726
"407","ID2922",NA,54,"Buttocks_Groin",1,0.0185185185185185
"408","ID2922",NA,54,"Face_Neck",0,0
"409","ID2922",NA,54,"Lower_Limbs",47,0.87037037037037
"410","ID2922",NA,54,"Multiple_sites",0,0
"411","ID2922",NA,54,"Trunk",0,0
"412","ID2922",NA,54,"Unspecified",0,0
"413","ID2922",NA,54,"Upper_Limbs",6,0.111111111111111
