"","ID","Study_meta","Total_N","Body_region","n","percent"
"159","ID 3486","Darre ́, Togo, 2018",33,"Trunk",6,18.1818181818182
"160","ID 3486","Darre ́, Togo, 2018",33,"Unspecified",NA,NA
"161","ID 3486","Darre ́, Togo, 2018",33,"Upper_Limbs",2,6.06060606060606
"162","ID 3494","Siblany, Saudi Arabia, 1998",36,"Buttocks_Groin",NA,NA
"163","ID 3494","Siblany, Saudi Arabia, 1998",36,"Face_Neck",NA,NA
"164","ID 3494","Siblany, Saudi Arabia, 1998",36,"Lower_Limbs",34,94.4444444444444
"165","ID 3494","Siblany, Saudi Arabia, 1998",36,"Multiple_sites",NA,NA
"166","ID 3494","Siblany, Saudi Arabia, 1998",36,"Trunk",1,2.77777777777778
"167","ID 3494","Siblany, Saudi Arabia, 1998",36,"Unspecified",NA,NA
"168","ID 3494","Siblany, Saudi Arabia, 1998",36,"Upper_Limbs",1,2.77777777777778
"169","ID 3501","Kizera, Uganda, 2020",249,"Buttocks_Groin",8,3.21285140562249
"170","ID 3501","Kizera, Uganda, 2020",249,"Face_Neck",1,0.401606425702811
"171","ID 3501","Kizera, Uganda, 2020",249,"Lower_Limbs",221,88.7550200803213
"172","ID 3501","Kizera, Uganda, 2020",249,"Multiple_sites",NA,NA
"173","ID 3501","Kizera, Uganda, 2020",249,"Trunk",4,1.60642570281124
"174","ID 3501","Kizera, Uganda, 2020",249,"Unspecified",7,2.81124497991968
"175","ID 3501","Kizera, Uganda, 2020",249,"Upper_Limbs",8,3.21285140562249
"176","ID 3554","Musa, Sudan, 2022",503,"Buttocks_Groin",370,73.558648111332
"177","ID 3554","Musa, Sudan, 2022",503,"Face_Neck",NA,NA
"178","ID 3554","Musa, Sudan, 2022",503,"Lower_Limbs",47,9.34393638170974
"179","ID 3554","Musa, Sudan, 2022",503,"Multiple_sites",NA,NA
"180","ID 3554","Musa, Sudan, 2022",503,"Trunk",NA,NA
"181","ID 3554","Musa, Sudan, 2022",503,"Unspecified",86,17.0974155069582
"182","ID 3554","Musa, Sudan, 2022",503,"Upper_Limbs",NA,NA
"183","ID 3734","Adoubryn, West Africa, 2009",46,"Buttocks_Groin",NA,NA
"184","ID 3734","Adoubryn, West Africa, 2009",46,"Face_Neck",1,2.17391304347826
"185","ID 3734","Adoubryn, West Africa, 2009",46,"Lower_Limbs",35,76.0869565217391
"186","ID 3734","Adoubryn, West Africa, 2009",46,"Multiple_sites",NA,NA
"187","ID 3734","Adoubryn, West Africa, 2009",46,"Trunk",NA,NA
"188","ID 3734","Adoubryn, West Africa, 2009",46,"Unspecified",8,17.3913043478261
"189","ID 3734","Adoubryn, West Africa, 2009",46,"Upper_Limbs",2,4.34782608695652
"190","ID 3864","Sawatkar, India, 2019",11,"Buttocks_Groin",NA,NA
"191","ID 3864","Sawatkar, India, 2019",11,"Face_Neck",1,9.09090909090909
"192","ID 3864","Sawatkar, India, 2019",11,"Lower_Limbs",9,81.8181818181818
"193","ID 3864","Sawatkar, India, 2019",11,"Multiple_sites",NA,NA
"194","ID 3864","Sawatkar, India, 2019",11,"Trunk",NA,NA
"195","ID 3864","Sawatkar, India, 2019",11,"Unspecified",NA,NA
"196","ID 3864","Sawatkar, India, 2019",11,"Upper_Limbs",1,9.09090909090909
"197","ID 3886","Dharmshale, India, 2015",23,"Buttocks_Groin",1,4.34782608695652
"198","ID 3886","Dharmshale, India, 2015",23,"Face_Neck",NA,NA
"199","ID 3886","Dharmshale, India, 2015",23,"Lower_Limbs",17,73.9130434782609
"200","ID 3886","Dharmshale, India, 2015",23,"Multiple_sites",NA,NA
"201","ID 3886","Dharmshale, India, 2015",23,"Trunk",4,17.3913043478261
